message_type,occurence_timestamp,timeStampUTC,author,content,message,emoji,text_content
Chat Message,3:25:30,2026-01-24 10:50:55.099409,@yamin12345-z,"{'message': '#7 ', 'emoji': [], 'text_content': '#7 '}",#7 ,[],#7 
Chat Message,3:25:30,2026-01-24 10:50:55.222274,@fdoniaquilani9902,"{'message': 'Suport Indo ', 'emoji': [], 'text_content': 'Suport Indo '}",Suport Indo ,[],Suport Indo 
Chat Message,3:25:30,2026-01-24 10:50:55.256967,@theycalledmeamadman2772,"{'message': 'ONIC MANA BISA ', 'emoji': [], 'text_content': 'ONIC MANA BISA '}",ONIC MANA BISA ,[],ONIC MANA BISA 
Chat Message,3:25:30,2026-01-24 10:50:55.363708,@loveydumpies,"{'message': 'AE plss ', 'emoji': [], 'text_content': 'AE plss '}",AE plss ,[],AE plss 
Chat Message,3:25:30,2026-01-24 10:50:55.592918,@Amrik199,"{'message': 'hina AE biar menang terus ', 'emoji': [], 'text_content': 'hina AE biar menang terus '}",hina AE biar menang terus ,[],hina AE biar menang terus 
Chat Message,3:25:30,2026-01-24 10:50:55.658330,@reyhanpradesa,"{'message': 'bab1 ', 'emoji': [], 'text_content': 'bab1 '}",bab1 ,[],bab1 
Chat Message,3:25:30,2026-01-24 10:50:55.786273,@vegapratama-m7r,"{'message': 'JANGAN KALAH DRAF BROO ', 'emoji': [], 'text_content': 'JANGAN KALAH DRAF BROO '}",JANGAN KALAH DRAF BROO ,[],JANGAN KALAH DRAF BROO 
Chat Message,3:25:30,2026-01-24 10:50:55.921605,@RaikenAdiguna,"{'message': 'JANGAN PUJI AE GUYS, PASIF NYA NYALA ', 'emoji': [], 'text_content': 'JANGAN PUJI AE GUYS, PASIF NYA NYALA '}","JANGAN PUJI AE GUYS, PASIF NYA NYALA ",[],"JANGAN PUJI AE GUYS, PASIF NYA NYALA "
Chat Message,3:25:31,2026-01-24 10:50:55.933866,@fajarrr.01,"{'message': 'Yok AE ukir sejarah ', 'emoji': [], 'text_content': 'Yok AE ukir sejarah '}",Yok AE ukir sejarah ,[],Yok AE ukir sejarah 
Chat Message,3:25:31,2026-01-24 10:50:56.262834,@syahrulramadhan3178,"{'message': 'BISMILLAH AE MENANG ', 'emoji': [], 'text_content': 'BISMILLAH AE MENANG '}",BISMILLAH AE MENANG ,[],BISMILLAH AE MENANG 
Chat Message,3:25:31,2026-01-24 10:50:56.246570,@dpaadly,"{'message': 'TL ', 'emoji': [], 'text_content': 'TL '}",TL ,[],TL 
Chat Message,3:25:31,2026-01-24 10:50:56.291638,@danielar8655,"{'message': 'ae kasih tau siapa yang sampah ', 'emoji': [], 'text_content': 'ae kasih tau siapa yang sampah '}",ae kasih tau siapa yang sampah ,[],ae kasih tau siapa yang sampah 
Chat Message,3:25:31,2026-01-24 10:50:56.457452,@secretmistis7376,"{'message': 'bismillah AE yokkk  $🤲 $🤲 $🤲 ', 'emoji': [{'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}, {'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}, {'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}], 'text_content': 'bismillah AE yokkk  '}",bismillah AE yokkk  $🤲 $🤲 $🤲 ,"[{'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}, {'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}, {'name': '🤲', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f932/72.png'}]",bismillah AE yokkk  
Chat Message,3:25:31,2026-01-24 10:50:56.515511,@TesalonikaTanda-n2c2c,"{'message': 'Gogo ae ', 'emoji': [], 'text_content': 'Gogo ae '}",Gogo ae ,[],Gogo ae 
Chat Message,3:25:31,2026-01-24 10:50:56.601617,@romarama1983,"{'message': 'NGEHUJAT TEROS KALIAN BANTU SUPORT KE ALTER EGO DONG ', 'emoji': [], 'text_content': 'NGEHUJAT TEROS KALIAN BANTU SUPORT KE ALTER EGO DONG '}",NGEHUJAT TEROS KALIAN BANTU SUPORT KE ALTER EGO DONG ,[],NGEHUJAT TEROS KALIAN BANTU SUPORT KE ALTER EGO DONG 
Chat Message,3:25:31,2026-01-24 10:50:56.769381,@iqbal_maulanaa,"{'message': 'BISMILLAH AE LETS GO ', 'emoji': [], 'text_content': 'BISMILLAH AE LETS GO '}",BISMILLAH AE LETS GO ,[],BISMILLAH AE LETS GO 
Chat Message,3:25:31,2026-01-24 10:50:56.717328,@Camping.busman,"{'message': 'AE pulang ', 'emoji': [], 'text_content': 'AE pulang '}",AE pulang ,[],AE pulang 
Chat Message,3:25:31,2026-01-24 10:50:56.836177,@evosraider969,"{'message': 'ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  $🙏 $🙏 $🙏 ', 'emoji': [{'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}, {'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}, {'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}], 'text_content': 'ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  '}",ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  $🙏 $🙏 $🙏 ,"[{'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}, {'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}, {'name': '🙏', 'isCustom': False, 'imageUrl': 'https://fonts.gstatic.com/s/e/notoemoji/15.1/1f64f/72.png'}]",ASSALAMUALAIKUM WARAHMATULLAHI WABARAKATUH SAATNYA MENGUMANDANGKAN #IZIN CUMA EVOS  
Chat Message,3:25:31,2026-01-24 10:50:56.857872,@putriflorian3281,"{'message': 'pulang kah ini? ', 'emoji': [], 'text_content': 'pulang kah ini? '}",pulang kah ini? ,[],pulang kah ini? 
Chat Message,3:25:31,2026-01-24 10:50:56.777527,@warungmizan,"{'message': 'ppa awtis ', 'emoji': [], 'text_content': 'ppa awtis '}",ppa awtis ,[],ppa awtis 
Chat Message,3:25:31,2026-01-24 10:50:56.851477,@arsyalvaroputra,"{'message': 'LETS GOO ', 'emoji': [], 'text_content': 'LETS GOO '}",LETS GOO ,[],LETS GOO 
Chat Message,3:25:32,2026-01-24 10:50:57.107975,@kynnnnnn17,"{'message': 'Onic fans = Karbit ', 'emoji': [], 'text_content': 'Onic fans = Karbit '}",Onic fans = Karbit ,[],Onic fans = Karbit 
Chat Message,3:25:32,2026-01-24 10:50:57.609041,@FarhanArsyad-o9s,"{'message': 'aeee pokeeeee ', 'emoji': [], 'text_content': 'aeee pokeeeee '}",aeee pokeeeee ,[],aeee pokeeeee 
Chat Message,3:25:32,2026-01-24 10:50:57.633072,@davinadabi7752,"{'message': 'gooo TLPH ', 'emoji': [], 'text_content': 'gooo TLPH '}",gooo TLPH ,[],gooo TLPH 
Chat Message,3:25:32,2026-01-24 10:50:57.770735,@bennyjm1637,"{'message': '#CUMA EVOS. AE BOT ', 'emoji': [], 'text_content': '#CUMA EVOS. AE BOT '}",#CUMA EVOS. AE BOT ,[],#CUMA EVOS. AE BOT 
Chat Message,3:25:32,2026-01-24 10:50:57.742009,@mhafi7837,"{'message': 'onicsampah #kataoheb ', 'emoji': [], 'text_content': 'onicsampah #kataoheb '}",onicsampah #kataoheb ,[],onicsampah #kataoheb 
Chat Message,3:25:32,2026-01-24 10:50:57.866756,@JainurIchsan-rr1fs,"{'message': 'OHEB 4NJ ', 'emoji': [], 'text_content': 'OHEB 4NJ '}",OHEB 4NJ ,[],OHEB 4NJ 
Chat Message,3:25:32,2026-01-24 10:50:57.813639,@EkaSptra021,"{'message': 'ae ', 'emoji': [], 'text_content': 'ae '}",ae ,[],ae 
Chat Message,3:25:32,2026-01-24 10:50:57.916934,@abiyulathifferyan9859,"{'message': 'gass boyy ', 'emoji': [], 'text_content': 'gass boyy '}",gass boyy ,[],gass boyy 
Chat Message,3:25:32,2026-01-24 10:50:57.913906,@BakoySteals,"{'message': 'AEE AEEE PULANG AJ ', 'emoji': [], 'text_content': 'AEE AEEE PULANG AJ '}",AEE AEEE PULANG AJ ,[],AEE AEEE PULANG AJ 
Chat Message,3:25:33,2026-01-24 10:50:58.176367,@ZaenalDin-l6p,"{'message': 'AE bot kroco ayamm ', 'emoji': [], 'text_content': 'AE bot kroco ayamm '}",AE bot kroco ayamm ,[],AE bot kroco ayamm 
Chat Message,3:25:33,2026-01-24 10:50:58.272615,@dyper1060,"{'message': 'Aeeeeee ', 'emoji': [], 'text_content': 'Aeeeeee '}",Aeeeeee ,[],Aeeeeee 
